iter	Passed	Remaining
0	1	140
1	2	145
2	4	158
3	6	152
4	8	160
5	10	168
6	13	172
7	15	174
8	17	173
9	19	175
10	21	176
11	24	176
12	26	176
13	28	177
14	31	178
15	33	176
16	35	173
17	37	171
18	40	171
19	42	169
20	44	166
21	46	164
22	48	163
23	50	160
24	53	159
25	55	156
26	56	154
27	58	151
28	61	149
29	63	147
30	65	145
31	67	143
32	69	140
33	71	137
34	72	135
35	75	133
36	77	131
37	79	129
38	81	127
39	83	124
40	85	122
41	86	118
42	87	116
43	90	114
44	92	112
45	94	111
46	97	109
47	99	107
48	101	105
49	103	103
50	105	101
51	107	99
52	109	97
53	111	95
54	113	92
55	115	90
56	117	88
57	119	86
58	121	84
59	123	82
60	126	80
61	128	78
62	130	76
63	132	74
64	134	72
65	137	70
66	139	68
67	142	66
68	144	64
69	146	62
70	148	60
71	150	58
72	152	56
73	155	54
74	158	52
75	160	50
76	162	48
77	164	46
78	166	44
79	168	42
80	170	40
81	173	38
82	175	35
83	177	33
84	179	31
85	181	29
86	183	27
87	186	25
88	188	23
89	190	21
90	192	19
91	194	16
92	195	14
93	197	12
94	198	10
95	200	8
96	202	6
97	203	4
98	204	2
99	205	0
